name,pos,team,gsis_id
Greg Dulcich,TE,MIA,00-0037252
Davis Allen,TE,LA,00-0039074
Isaiah Likely,TE,BAL,00-0037838
Daniel Bellinger,TE,NYG,00-0038115
Austin Hooper,TE,NE,00-0032392
Elijah Higgins,TE,ARI,00-0039041
Josh Oliver,TE,MIN,00-0035249
Ja'Tavion Sanders,TE,CAR,00-0039356
Jackson Hawes,TE,BUF,00-0040194
Terrance Ferguson,TE,LA,00-0040737
Luke Musgrave,TE,GB,00-0039144
Mitchell Evans,TE,CAR,00-0040187
Tanner Hudson,TE,CIN,00-0034613
Jeremy Ruckert,TE,NYJ,00-0037805
Adam Trautman,TE,DEN,00-0036422
Taysom Hill,TE,NO,00-0033357
Noah Gray,TE,KC,00-0036637
Elijah Arroyo,TE,SEA,00-0040739
Brock Wright,TE,DET,00-0036754
Charlie Kolar,TE,BAL,00-0038046
Hunter Long,TE,JAX,00-0037004
Drew Sample,TE,CIN,00-0035631
Julian Hill,TE,MIA,00-0038720
Mo Alie-Cox,TE,IND,00-0033217
Luke Farrell,TE,SF,00-0036887
Ben Sinnott,TE,WAS,00-0039912
Connor Heyward,TE,PIT,00-0037304
John Bates,TE,WAS,00-0036628
Luke Schoonmaker,TE,DAL,00-0038547
John FitzPatrick,TE,GB,00-0037306
Ian Thomas,TE,LV,00-0034365
Brevyn Spann-Ford,TE,DAL,00-0039530
Grant Calcaterra,TE,PHI,00-0037086
Will Dissly,TE,LAC,00-0034159
Johnny Mundt,TE,JAX,00-0033246
Cade Stover,TE,HOU,00-0039359
Tanner Conner,TE,MIA,00-0037348
Quintin Morris,TE,JAX,00-0036590
Tyler Conklin,TE,LAC,00-0034270
Nate Adkins,TE,DEN,00-0038783
Jack Stoll,TE,NO,00-0036741
Josh Whyle,TE,GB,00-0038589
Anthony Firkser,TE,DET,00-0033455
David Martin-Robinson,TE,TEN,00-0039648
Foster Moreau,TE,NO,00-0034981
Charlie Woerner,TE,ATL,00-0036429
Andrew Ogletree,TE,IND,00-0037292
