position,gsis_id,display_name,sleeper_id
WR,00-0032464,Kalif Raymond,3634
WR,00-0032688,Robbie Chosen,3423
WR,00-0032775,Demarcus Robinson,3286
WR,00-0032951,Laquon Treadwell,3155
WR,00-0033040,Tyreek Hill,3321
WR,00-0033282,Curtis Samuel,4082
WR,00-0033292,Trent Taylor,4218
WR,00-0033307,Kendrick Bourne,4454
WR,00-0033375,Tim Patrick,4351
WR,00-0033536,Mike Williams,4068
WR,00-0033555,Mack Hollins,4177
WR,00-0033572,Jamal Agnew,4198
WR,00-0033589,David Moore,4274
WR,00-0033591,Noah Brown,4234
WR,00-0033857,JuJu Smith-Schuster,4040
WR,00-0033891,Zay Jones,4080
WR,00-0033908,Cooper Kupp,4039
WR,00-0033921,Chris Godwin Jr.,4037
WR,00-0033943,Josh Reynolds,4171
WR,00-0034054,River Cracraft,4854
WR,00-0034272,Marquez Valdes-Scantling,5086
WR,00-0034317,Keith Kirkwood,5134
WR,00-0034348,Courtland Sutton,5045
WR,00-0034353,Anthony Miller,5013
WR,00-0034386,Justin Watson,5374
WR,00-0034406,Deon Cain,5101
WR,00-0034407,Ray-Ray McCloud,5096
WR,00-0034411,Russell Gage,5110
WR,00-0034418,Cedrick Wilson Jr.,5113
WR,00-0034419,Braxton Berrios,5121
WR,00-0034487,Trent Sherfield,5154
WR,00-0034521,Allen Lazard,5185
WR,00-0034764,Michael Gallup,5038
WR,00-0034775,Christian Kirk,4950
WR,00-0034827,DJ Moore,4983
WR,00-0034837,Calvin Ridley,4981
WR,00-0034854,KhaDarel Hodge,5773
WR,00-0034860,Dante Pettis,4992
WR,00-0034867,Malik Turner,5781
WR,00-0034928,Steven Sims,6402
WR,00-0034960,Jakobi Meyers,5947
WR,00-0034983,Hunter Renfrow,5955
WR,00-0035021,Ashton Dulin,6427
WR,00-0035140,Mecole Hardman,5917
WR,00-0035208,Olamide Zaccheaus,6271
WR,00-0035216,Diontae Johnson,5937
WR,00-0035298,Scott Miller,6290
WR,00-0035341,Trenton Irwin,6598
WR,00-0035359,David Sills,6154
WR,00-0035406,Lil'Jordan Humphrey,5938
WR,00-0035480,Malik Taylor,6239
WR,00-0035500,Greg Dortch,5970
WR,00-0035535,Darius Slayton,6149
WR,00-0035593,Juwann Winfree,6223
WR,00-0035639,Parris Campbell,5880
WR,00-0035640,DK Metcalf,5846
WR,00-0035659,Terry McLaurin,5927
WR,00-0035662,Marquise Brown,5848
WR,00-0035676,A.J. Brown,5859
WR,00-0035703,Miles Boykin,5965
WR,00-0035719,Deebo Samuel Sr.,5872
WR,00-0035891,Cody White,7039
WR,00-0036133,James Proche,6957
WR,00-0036165,Isaiah Hodgins,6920
WR,00-0036182,Nick Westbrook-Ikhine,7496
WR,00-0036196,Gabe Davis,6943
WR,00-0036219,Marquez Callaway,6989
WR,00-0036252,Michael Pittman,6819
WR,00-0036259,Jauan Jennings,7049
WR,00-0036261,Brandon Aiyuk,6803
WR,00-0036268,Laviska Shenault Jr.,6814
WR,00-0036271,Quez Watkins,6927
WR,00-0036309,Darnell Mooney,7090
WR,00-0036322,Justin Jefferson,6794
WR,00-0036331,Devin Duvernay,6847
WR,00-0036345,K.J. Osborn,7066
WR,00-0036358,CeeDee Lamb,6786
WR,00-0036387,Jalen Reagor,6798
WR,00-0036407,Jerry Jeudy,6783
WR,00-0036410,Tee Higgins,6801
WR,00-0036415,Van Jefferson,6853
WR,00-0036427,Tyler Johnson,6960
WR,00-0036463,Chris Blair,7521
WR,00-0036497,Tim Jones,8013
WR,00-0036550,Rashod Bateman,7571
WR,00-0036554,Nico Collins,7569
WR,00-0036613,Jaylen Waddle,7526
WR,00-0036626,Dyami Brown,7587
WR,00-0036630,Tylan Wallace,7595
WR,00-0036647,Cornell Powell,7541
WR,00-0036849,Tutu Atwell,7562
WR,00-0036862,Ben Skowronek,7757
WR,00-0036900,Ja'Marr Chase,7564
WR,00-0036912,DeVonta Smith,7525
WR,00-0036936,Rondale Moore,7601
WR,00-0036955,Terrace Marshall Jr.,7565
WR,00-0036963,Amon-Ra St. Brown,7547
WR,00-0036980,Elijah Moore,7596
WR,00-0036988,Josh Palmer,7670
WR,00-0037093,Dareke Young,8527
WR,00-0037132,Britain Covey,8414
WR,00-0037238,Drake London,8112
WR,00-0037239,Chris Olave,8144
WR,00-0037240,Jameson Williams,8148
WR,00-0037247,George Pickens,8137
WR,00-0037257,David Bell,8118
WR,00-0037261,Khalil Shakir,8134
WR,00-0037291,Jalen Nailor,8180
WR,00-0037545,Rashid Shaheed,8676
WR,00-0037614,John Metchie III,8147
WR,00-0037664,Alec Pierce,8142
WR,00-0037666,Jalen Tolbert,8117
WR,00-0037740,Garrett Wilson,8146
WR,00-0037741,Jahan Dotson,8119
WR,00-0037742,Treylon Burks,8135
WR,00-0037801,KaVontae Turpin,8917
WR,00-0037816,Romeo Doubs,8121
WR,00-0037837,Calvin Austin III,8125
WR,00-0038090,Skyy Moore,8168
WR,00-0038104,Tyquan Thornton,8188
